{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 

{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'} 

{'pid': 236, 'username': None, 'name': ''} 

{'pid': 276, 'username': 'SAHIL\\sahil', 'name': 'conhost.exe'} 

{'pid': 280, 'username': None, 'name': 'Registry'} 

{'pid': 444, 'username': None, 'name': 'svchost.exe'} 

{'pid': 448, 'username': None, 'name': 'svchost.exe'} 

{'pid': 600, 'username': None, 'name': 'svchost.exe'} 

{'pid': 816, 'username': None, 'name': 'svchost.exe'} 

{'pid': 848, 'username': None, 'name': 'smss.exe'} 

{'pid': 968, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1104, 'username': None, 'name': 'csrss.exe'} 

{'pid': 1212, 'username': None, 'name': 'wininit.exe'} 

{'pid': 1284, 'username': None, 'name': 'services.exe'} 

{'pid': 1304, 'username': None, 'name': 'LsaIso.exe'} 

{'pid': 1312, 'username': None, 'name': 'lsass.exe'} 

{'pid': 1372, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1440, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1472, 'username': None, 'name': 'fontdrvhost.exe'} 

{'pid': 1480, 'username': None, 'name': 'WUDFHost.exe'} 

{'pid': 1552, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1616, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1636, 'username': 'SAHIL\\sahil', 'name': 'chrome.exe'} 

{'pid': 1656, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1736, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1824, 'username': None, 'name': 'WUDFHost.exe'} 

{'pid': 1832, 'username': None, 'name': 'RtkAudUService64.exe'} 

{'pid': 1916, 'username': None, 'name': 'SecurityHealthService.exe'} 

{'pid': 1964, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1984, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2012, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2036, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2180, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2208, 'username': None, 'name': 'ELANFPService.exe'} 

{'pid': 2220, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2232, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2248, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2264, 'username': None, 'name': 'WUDFHost.exe'} 

