{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 

{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4} 

{'name': '', 'username': None, 'pid': 236} 

{'name': 'Registry', 'username': None, 'pid': 280} 

{'name': 'mc-extn-browserhost.exe', 'username': 'SAHIL\\sahil', 'pid': 376} 

{'name': 'svchost.exe', 'username': None, 'pid': 444} 

{'name': 'svchost.exe', 'username': None, 'pid': 448} 

{'name': 'svchost.exe', 'username': None, 'pid': 600} 

{'name': 'svchost.exe', 'username': None, 'pid': 816} 

{'name': 'smss.exe', 'username': None, 'pid': 848} 

{'name': 'svchost.exe', 'username': None, 'pid': 968} 

{'name': 'csrss.exe', 'username': None, 'pid': 1104} 

{'name': 'wininit.exe', 'username': None, 'pid': 1212} 

{'name': 'services.exe', 'username': None, 'pid': 1284} 

{'name': 'LsaIso.exe', 'username': None, 'pid': 1304} 

{'name': 'lsass.exe', 'username': None, 'pid': 1312} 

{'name': 'svchost.exe', 'username': None, 'pid': 1372} 

{'name': 'svchost.exe', 'username': None, 'pid': 1440} 

{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1472} 

{'name': 'WUDFHost.exe', 'username': None, 'pid': 1480} 

{'name': 'svchost.exe', 'username': None, 'pid': 1552} 

{'name': 'StartMenuExperienceHost.exe', 'username': 'SAHIL\\sahil', 'pid': 1572} 

{'name': 'svchost.exe', 'username': None, 'pid': 1616} 

{'name': 'svchost.exe', 'username': None, 'pid': 1656} 

{'name': 'svchost.exe', 'username': None, 'pid': 1736} 

{'name': 'WUDFHost.exe', 'username': None, 'pid': 1824} 

{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 1832} 

{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 1916} 

{'name': 'svchost.exe', 'username': None, 'pid': 1964} 

{'name': 'svchost.exe', 'username': None, 'pid': 1984} 

{'name': 'svchost.exe', 'username': None, 'pid': 2012} 

{'name': 'svchost.exe', 'username': None, 'pid': 2036} 

{'name': 'chrome.exe', 'username': 'SAHIL\\sahil', 'pid': 2100} 

{'name': 'svchost.exe', 'username': None, 'pid': 2180} 

{'name': 'ELANFPService.exe', 'username': None, 'pid': 2208} 

{'name': 'svchost.exe', 'username': None, 'pid': 2220} 

{'name': 'svchost.exe', 'username': None, 'pid': 2232} 

{'name': 'svchost.exe', 'username': None, 'pid': 2248} 

{'name': 'WUDFHost.exe', 'username': None, 'pid': 2264} 

{'name': 'svchost.exe', 'username': None, 'pid': 2272} 

{'name': 'svchost.exe', 'username': None, 'pid': 2404} 

{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 2516} 

{'name': 'svchost.exe', 'username': None, 'pid': 2552} 

{'name': 'svchost.exe', 'username': None, 'pid': 2584} 

{'name': 'dllhost.exe', 'username': None, 'pid': 2604} 

{'name': 'svchost.exe', 'username': None, 'pid': 2628} 

{'name': 'svchost.exe', 'username': None, 'pid': 2664} 

{'name': 'svchost.exe', 'username': None, 'pid': 2832} 

{'name': 'svchost.exe', 'username': None, 'pid': 2848} 

{'name': 'svchost.exe', 'username': None, 'pid': 3048} 

{'name': 'svchost.exe', 'username': None, 'pid': 3200} 

{'name': 'svchost.exe', 'username': None, 'pid': 3356} 

{'name': 'svchost.exe', 'username': None, 'pid': 3364} 

{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 3440} 

{'name': 'svchost.exe', 'username': None, 'pid': 3524} 

{'name': 'AsusSoftwareManager.exe', 'username': None, 'pid': 3580} 

{'name': 'svchost.exe', 'username': None, 'pid': 3592} 

{'name': 'TrustedInstaller.exe', 'username': None, 'pid': 3600} 

{'name': 'svchost.exe', 'username': None, 'pid': 3612} 

{'name': 'svchost.exe', 'username': None, 'pid': 3620} 

{'name': 'taskhostw.exe', 'username': None, 'pid': 3664} 

{'name': 'svchost.exe', 'username': None, 'pid': 3724} 

{'name': 'MemCompression', 'username': None, 'pid': 3752} 

{'name': 'svchost.exe', 'username': None, 'pid': 3828} 

{'name': 'svchost.exe', 'username': None, 'pid': 3892} 

{'name': 'svchost.exe', 'username': None, 'pid': 3908} 

{'name': 'svchost.exe', 'username': None, 'pid': 4020} 

